code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IRQ,2,,6,25,1,,,0,2,0,0,1,2,1,0,0,0
TJK,1,,,,,,,,0,,,,,1,3,9,10
BDI,2,3,4,4,2,2,3,3,3,13,13,9,45,44,94,94,94
CMR,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
COD,595,636,626,619,601,594,584,584,787,1524,1508,1528,1877,2300,500,500,500
COG,235,227,228,232,221,220,222,222,222,163,163,138,138,75,58,58,58
COM,3,3,3,3,,,,,,,,,,,,,
GIN,2,2,7,17,16,10,3,3,2,94,78,0,4553,4562,9141,9145,9145
GNB,3,3,2,2,,4,14,14,14,17,17,14,133,167,268,268,268
LBR,1,,6,16,,,9,24,11,158,158,73,369,328,478,478,478
MRT,2,,1,1,1,1,18,11,9,109,90,0,2490,2257,5415,5403,5403
RWA,5,3,,5,,1,,8,33,21,8,0,258,290,85,67,67
SLE,21,4,34,33,16,5,92,263,252,462,462,261,1288,1065,1498,1497,1497
TCD,9,11,9,10,10,10,10,10,33,77,61,0,589,295,780,780,780
TZA,3,5,3,5,5,5,5,14,14,0,,,,,0,0,0
ZMB,1,1,1,1,1,1,,,,,,,,,1,1,*
,4,4,30,76,23,22,19,16,20,19,20,21,18,17,13,12,5
AFG,12,16,16,,,,,,,0,16,6,6,1,0,,18
BIH,2,2,2,1,,,,,,,,,,,,,
ETH,1,1,1,,,5,,0,,,3,0,,,1,0,*
IND,5,,,,,,,,,,,,,,,,
IRN,8,1,,8,4,5,8,14,21,11,14,1,9,2,0,1,*
IRQ,58,64,69,11,11,1,7,19,14,27,14,2,32,52,200,274,354
JOR,6,6,,,,,,,,,,,,,,,
LBY,9,9,9,,,,,,,0,,,,,,,
PAK,1,1,1,,,,,3,3,3,0,1,0,0,,,*
PSE,33,33,33,,1,6,6,0,,8,7,7,0,0,0,34,50
QAT,16,16,16,,,,,,,,,,,,,,
SDN,30,23,22,1,6,6,1,4,3,0,13,14,13,0,2,3,13
SOM,80,103,37,10,,,,,,,0,8,17,8,0,0,0
SYR,49,52,60,27,25,55,10,18,22,25,9,6,14,14,12,109,165
UGA,1,10,10,,,,,,,,,,,,,,
,1,1,1,1,,,,,,,,,,,,0,0
YEM,23,23,,,,,,,,,,,,,,,*
AFG,1,1,1,1,1,1,1,1,,,1,0,1,0,1,1,*
AGO,3,5,5,2,2,2,3,2,1,0,2,2,0,2,2,0,*
ALB,11,14,14,7,1,2,2,6,,0,0,0,,,0,0,0
ARM,139,123,112,50,25,16,10,10,12,16,5,5,6,10,30,35,105
AZE,2,2,2,1,1,1,1,1,,,,,,,,,
BEN,6,6,6,7,7,7,7,1,,,,0,0,,0,0,0
BGD,15,23,23,19,19,6,8,15,4,12,15,33,36,9,8,4,73
BGR,5,5,5,5,5,4,5,5,,0,,,,,0,0,*
BOL,2,4,5,3,3,3,6,5,1,1,0,3,1,0,0,0,0
CHL,5,5,5,6,9,11,12,11,1,0,1,8,7,6,7,5,6
,2,2,2,2,2,5,11,7,21,0,9,6,0,1,3,4,5
COD,8,8,19,20,22,20,,,,,,8,6,7,5,1,21
COG,10,12,,,,,25,25,2,0,13,1,1,0,1,0,*
COL,31,39,49,44,57,123,145,219,68,98,203,486,510,302,141,107,186
CUB,97,132,129,106,93,43,45,64,12,13,29,79,97,93,142,127,510
DOM,7,7,6,6,6,5,7,15,121,161,119,150,201,74,67,51,80
DZA,11,11,11,12,12,10,9,9,,,,,,,1,0,*
ECU,3,5,4,2,3,1,1,3,3,3,3,3,5,0,0,2,*
EST,4,4,4,6,4,4,4,4,,,,,,,0,,
GEO,3,,2,2,,1,1,1,,5,1,0,,,0,0,*
GHA,6,8,7,6,5,11,5,7,12,0,12,16,18,10,42,55,110
GIN,5,4,7,6,8,7,4,9,0,0,0,7,3,8,8,3,13
HTI,15,32,30,36,35,16,24,51,0,24,36,29,22,47,49,87,413
IND,18,21,20,13,7,1,3,28,9,15,34,49,61,37,53,31,119
IRN,7,7,9,9,13,13,13,13,,,,,,,0,0,*
IRQ,5,,2,2,,3,2,2,1,0,0,4,2,1,1,5,6
KAZ,1,3,3,6,11,3,3,3,2,0,3,0,3,0,0,0,*
KGZ,3,3,3,3,3,5,5,3,,,,,,,0,0,0
LBR,20,22,22,26,24,29,24,27,1,3,15,16,3,0,0,0,*
MAR,1,1,1,1,1,,,,,,1,2,1,5,0,1,8
