code3,typeName,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Cereals excluding rice Emissions (CO2eq) gigagrams,402.2165,408.3269,385.7396,406.7923,410.094,392.3671,410.4523,415.688,427.5131,403.4331,403.4812,470.721,462.074,478.4703,496.2182,509.1947,491.2148,502.8103,475.6293,466.1059,435.5457,437.7969,418.7011,430.805,414.0501,392.3116,425.5107,381.3137,370.0999,347.6277,352.2689,324.9001,382.6573,329.9412,325.3255,342.3045,371.7676,386.2172,341.8581,247.0898,265.145,377.1797,464.76,383.2425,540.4174,513.3178,558.5772,399.9802,622.9562,569.4834,502.1896,930.8129,765.7361,754.5742
AFG,"Rice, paddy Emissions (CO2eq) gigagrams",665.5675,665.5675,665.5675,699.3576,699.3576,703.5647,660.1999,662.6412,663.305,649.4546,642.0017,675.8028,677.4628,680.276,682.4701,684.3597,684.8975,685.535,672.6724,627.1058,569.3586,546.2041,512.1533,499.7646,474.3588,502.0453,539.5562,594.8968,562.9364,576.4692,569.8048,572.6937,573.1697,573.2844,544.5316,559.8704,578.1288,580.8723,448.6989,416.8035,393.8971,446.1877,477.9317,635.4529,528.8122,541.7134,564.2252,626.8125,664.4793,689.605,703.0602,752.4373,708.0396,747.5037
AFG,"Meat, cattle Emissions (CO2eq) gigagrams",1576.9262,1791.9616,1806.2973,1842.1366,1813.4652,1892.3115,1820.633,1829.9512,1806.2973,1906.6472,1913.815,1702.3636,1571.192,1693.7621,1833.5351,1863.6401,1880.8429,1870.8079,1856.4723,1856.4723,1877.9758,1870.8079,1648.6047,1075.177,860.1416,553.3578,566.2599,573.4277,573.4277,568.7514,358.3923,379.8959,430.0708,422.1862,426.1715,603.1026,641.5223,651.077,772.3706,645.1062,465.1932,799.2149,880.9283,784.1624,804.9492,938.9879,972.6768,1035.7538,1018.551,1270.8592,1235.7367,891.6801,856.5577,875.2105
AFG,"Milk, whole fresh cow Emissions (CO2eq) gigagrams",1172.1377,1172.1377,1306.0963,1306.0963,1456.7998,1607.5032,1774.9514,1808.4411,1808.4411,1741.4618,1691.2273,1716.3445,1741.4618,1791.6963,1810.1156,1841.9307,1718.019,1875.4204,1875.4204,1875.4204,1892.1652,1892.1652,2009.379,2009.379,1674.4825,1272.6067,1322.8412,1339.586,1339.586,1350.5103,1841.9307,1959.1445,2009.379,2195.2465,2511.7237,3014.0685,3348.965,3516.4132,4018.7579,3348.965,2679.172,4353.6544,4353.6544,4018.758,4353.6544,4688.5509,5023.4474,5525.7922,5525.7922,6530.4817,6363.0334,6697.9299,6764.9092,6912.2253
AFG,"Meat, goat Emissions (CO2eq) gigagrams",717.8808,693.8384,607.4048,543.4226,454.274,454.274,428.6811,407.9935,367.8979,443.6103,469.2032,234.6016,313.513,371.0971,426.5483,420.1501,418.0174,418.0174,391.3581,383.8935,394.5572,394.5572,324.1767,309.2475,287.9201,254.6494,294.3184,341.2387,383.8935,428.6811,473.4687,518.2562,563.0438,607.8314,680.1514,598.9805,710.3096,852.9811,1060.5896,1087.6983,661.7897,1062.3186,1114.3575,1153.3867,1008.147,969.5444,666.9083,879.9692,757.1233,970.1842,1116.4903,1068.7168,1026.062,1032.4997
AFG,"Milk, whole fresh goat Emissions (CO2eq) gigagrams",177.8707,177.8707,203.037,203.037,228.2034,228.2034,253.7963,271.7113,271.9246,238.8671,191.9468,191.9468,209.0087,215.4069,213.2742,219.6724,221.8051,221.8051,223.9379,223.9379,223.9379,223.9379,251.6635,223.9379,191.9468,159.9556,196.2122,223.9379,255.929,285.7874,315.6458,345.5042,375.3625,405.2209,469.2032,383.8935,469.2032,554.5128,511.858,469.2032,405.2209,490.5306,469.2032,477.7341,479.8669,469.2032,481.9996,481.9996,481.9996,477.7341,511.858,490.5306,474.7483,473.0026
AFG,"Meat, sheep Emissions (CO2eq) gigagrams",2325.0786,2348.4854,2332.8808,2340.6831,2412.8542,2740.5498,2652.7742,2819.5494,2826.3749,2925.8539,3159.9222,1568.2577,2018.8392,2282.166,2617.0803,2730.797,2554.0754,2328.006,2155.379,2178.7859,2067.6034,2100.7631,1696.9953,1540.9497,1547.3866,1235.2955,1495.5015,1784.7709,1654.6679,1381.9783,1384.9042,1316.6343,1267.87,1274.1238,1222.6531,1358.5715,1464.8775,1590.0276,1734.1384,1462.9269,1356.6209,852.9839,892.1904,982.3067,1048.0409,908.7702,274.055,815.338,1187.3115,1284.6449,1423.868,1368.1779,1184.0789,1277.6973
AFG,"Milk, whole fresh sheep Emissions (CO2eq) gigagrams",1185.9461,1191.7978,1275.6723,1365.3985,1410.2616,1277.6229,1365.3985,1365.3985,1365.3985,1267.87,1014.296,936.2732,1102.0716,1228.8586,1365.3985,1404.4099,1394.657,1392.7065,1433.6684,1468.7787,1618.9725,1585.8128,1599.4668,1365.3985,1105.3876,812.8022,845.1817,975.2846,1105.3876,1381.9783,1384.9042,1316.6343,1267.87,1261.6163,1228.8586,1365.3985,1482.4326,1579.9611,1716.501,1462.9269,1365.3985,858.2505,877.7562,994.7903,1053.3074,897.2619,1306.8814,1273.7217,1209.3529,1306.8814,1358.0339,1327.5088,1379.1641,1352.6454
AFG,"Milk, whole fresh camel Emissions (CO2eq) gigagrams",31.2559,35.0066,43.7583,41.2578,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,33.7564,33.7564,33.7564,33.7564,33.7564,33.7564,33.7564,33.7564,37.5071,33.7564,30.0057,27.5052,25.0047,26.1393,26.3875,26.8586,27.3925,27.5052,30.0057,33.7564,33.7564,27.5052,25.0047,30.7558,32.5061,37.007,32.006,32.5061,32.5061,31.631,32.5061,32.5061,32.5061,32.5061,32.5061,32.9703
AFG,"Meat, chicken Emissions (CO2eq) gigagrams",2.7665,1.9761,1.5809,1.9761,1.1857,1.1857,1.2252,2.8535,1.1857,1.9761,3.9522,3.9522,3.9522,3.9522,3.9522,3.9522,3.9522,3.557,3.9522,3.9522,4.3474,4.3474,4.7426,5.1379,5.5331,5.9283,5.5331,5.1379,4.7426,3.9127,3.8534,3.7941,3.7348,2.5689,3.9601,4.7426,4.3474,4.8533,4.3474,4.1735,3.7309,7.3353,7.5171,7.9914,8.7502,6.6397,3.3001,6.2801,5.9006,18.5279,14.9314,14.6706,10.09,9.2905
