code3,Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Ammonium nitrate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Ammonium sulphate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Calcium ammonium nitrate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Diammonium phosphate (DAP) Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,Monoammonium phosphate (MAP) Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,NPK complex Consumption in tonnes,17900,33200,47700,0,0,0,0,0,0,0,0,,
AFG,NPK complex <=10kg Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,NPK complex >10kg Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,Other nitrogen & phosphates compounds Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,Other nitrogen & phosphorus compounds Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,Other NP compounds Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,PK compounds Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,Potassium chloride (Muriate of potash) Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Potassium nitrate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
AFG,Potassium sulphate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Superphosphate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Superphosphate above 35% Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Superphosphate other Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Urea Consumption in tonnes,0,0,42300,20577,68253,61315,50628,76599,72084,107228,473894,247160,201340
AFG,Urea and ammonium nitrate solutions Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Ammonium nitrate Consumption in tonnes,46300,44600,44400,27709,29623,38531,33689,38465,34993,36736,35791,32864,32864
ALB,Ammonium sulphate Consumption in tonnes,0,0,0,18,45,54,0,0,0,0,0,0,0
ALB,Calcium ammonium nitrate Consumption in tonnes,0,0,0,2,5,118,0,0,0,0,0,0,0
ALB,Diammonium phosphate (DAP) Consumption in tonnes,0,0,0,13754,8922,3716,20696,24710,26889,29262,25657,26461,26461
ALB,Monoammonium phosphate (MAP) Consumption in tonnes,0,0,0,0,24,71,0,0,0,0,0,,
ALB,NPK blends Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,NPK complex Consumption in tonnes,0,0,0,0,0,0,0,0,19490,2468,3366,3520,3520
ALB,NPK complex <=10kg Consumption in tonnes,0,0,0,74,86,53,39,19,0,0,0,,
ALB,NPK complex >10kg Consumption in tonnes,0,0,0,1577,4578,7862,8774,2958,0,0,0,,
ALB,Other nitrogen & phosphates compounds Consumption in tonnes,0,0,0,0,0,20,26,79,0,0,0,,
ALB,Other nitrogen & phosphorus compounds Consumption in tonnes,0,0,0,0,0,1977,2701,1756,0,0,0,,
ALB,Other NP compounds Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,PK compounds Consumption in tonnes,0,0,0,1500,38,148,0,0,0,0,0,0,0
ALB,Potassium chloride (Muriate of potash) Consumption in tonnes,0,0,0,26,27,10,0,0,0,0,0,0,0
ALB,Potassium nitrate Consumption in tonnes,0,0,0,9,39,11,0,0,0,0,0,0,0
ALB,Potassium sulphate Consumption in tonnes,0,0,0,147,89,4,0,0,0,0,0,0,0
ALB,Superphosphate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,,
ALB,Superphosphate above 35% Consumption in tonnes,0,0,0,2300,1050,1200,17493,20084,19490,20675,21431,22188,22188
ALB,Superphosphate other Consumption in tonnes,0,0,0,11059,11797,15897,0,0,0,0,0,0,0
ALB,Urea Consumption in tonnes,33900,31200,35800,10806,25733,22305,28935,35564,31371,41191,38763,31329,31329
ALB,Urea and ammonium nitrate solutions Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Ammonium nitrate Consumption in tonnes,0,0,0,0,0,0,0,7004,24541,49000,21792,20219,85005
DZA,Ammonium sulphate Consumption in tonnes,0,0,0,0,0,0,0,7946,6102,8229,7669,7443,20583
DZA,Calcium ammonium nitrate Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Diammonium phosphate (DAP) Consumption in tonnes,0,0,0,0,0,1000,1000,3300,60,0,0,0,0
DZA,Monoammonium phosphate (MAP) Consumption in tonnes,0,0,0,0,0,7681,0,3432,7049,9953,15065,18312,36182
DZA,NPK complex Consumption in tonnes,0,0,0,0,0,61000,42000,0,80960,48000,110000,119940,100000
DZA,NPK complex <=10kg Consumption in tonnes,0,0,0,0,0,20,0,124,65,61,105,105,639
DZA,NPK complex >10kg Consumption in tonnes,0,0,0,0,0,32199,39820,40118,71621,46596,80069,65797,99893
DZA,Other nitrogen & phosphates compounds Consumption in tonnes,0,0,0,0,0,0,0,6,0,10080,15446,9031,10358
DZA,Other nitrogen & phosphorus compounds Consumption in tonnes,0,0,0,0,0,31,8078,0,0,0,1261,6510,4044
DZA,Other NP compounds Consumption in tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,PK compounds Consumption in tonnes,0,0,0,0,0,0,38,2657,3517,6546,2828,677,1342
DZA,Potassium chloride (Muriate of potash) Consumption in tonnes,0,0,0,0,0,0,0,0,4215,4684,3092,3697,16818
DZA,Potassium nitrate Consumption in tonnes,0,0,0,0,0,0,0,0,246,265,246,97,362
DZA,Potassium sulphate Consumption in tonnes,0,0,0,0,34417,0,26051,22168,29293,39768,39608,26885,32789
DZA,Superphosphate Consumption in tonnes,0,0,0,0,0,250,0,42810,30000,0,0,0,0
DZA,Superphosphate above 35% Consumption in tonnes,0,0,0,0,0,70000,0,6000,0,26576,27990,32677,47705
DZA,Superphosphate other Consumption in tonnes,0,0,0,0,0,7000,0,10000,15000,0,0,0,0
DZA,Urea Consumption in tonnes,0,0,0,0,0,0,0,60729,86279,81131,94598,40844,431521
DZA,Urea and ammonium nitrate solutions Consumption in tonnes,0,0,0,0,0,1,0,0,0,0,2054,1135,14
AND,Ammonium nitrate Consumption in tonnes,,,,,,,,,,,,0,0
AND,Ammonium sulphate Consumption in tonnes,,,,,,,,,,,,0,0
AND,Calcium ammonium nitrate Consumption in tonnes,,,,,,,,,,,,0,0
AND,Diammonium phosphate (DAP) Consumption in tonnes,,,,,,,,,,,,0,0
AND,Monoammonium phosphate (MAP) Consumption in tonnes,,,,,,,,,,,,0,0
AND,NPK complex Consumption in tonnes,,,,,,,,,,,,0,0
AND,NPK complex <=10kg Consumption in tonnes,,,,,,,,,,,,0,0
AND,NPK complex >10kg Consumption in tonnes,,,,,,,,,,,,0,0
AND,Other nitrogen & phosphates compounds Consumption in tonnes,,,,,,,,,,,,0,0
AND,Other nitrogen & phosphorus compounds Consumption in tonnes,,,,,,,,,,,,0,0
AND,Other NP compounds Consumption in tonnes,,,,,,,,,,,,0,0
AND,PK compounds Consumption in tonnes,,,,,,,,,,,,0,0
AND,Potassium chloride (Muriate of potash) Consumption in tonnes,,,,,,,,,,,,0,0
AND,Potassium nitrate Consumption in tonnes,,,,,,,,,,,,0,0
AND,Potassium sulphate Consumption in tonnes,,,,,,,,,,,,0,0
AND,Superphosphate Consumption in tonnes,,,,,,,,,,,,0,0
AND,Superphosphate above 35% Consumption in tonnes,,,,,,,,,,,,0,0
AND,Superphosphate other Consumption in tonnes,,,,,,,,,,,,0,0
AND,Urea Consumption in tonnes,,,,,,,,,,,,0,0
AND,Urea and ammonium nitrate solutions Consumption in tonnes,,,,,,,,,,,,0,0
AGO,Ammonium nitrate Consumption in tonnes,0,0,0,0,4926,0,0,7275,3210,4937,6697,6624,26314
AGO,Ammonium sulphate Consumption in tonnes,0,0,0,0,8213,0,0,10563,32674,16214,14938,18249,4040
AGO,Calcium ammonium nitrate Consumption in tonnes,0,0,0,0,0,50,5,35,0,20,97,135,91
