code3,typeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ALB,Chlorinated Hydrocarbons,,,,10,17,22,,,,,,,,,,,,,,,,,,,
ALB,Organo-Phosphates,,,,30,50,64,,,,,,,,,,,,,,,,,,,
ALB,Carbamates Insecticides,,,,14,26,30,,,,,,,,,,,,,,,,,,,
ALB,Pyrethroids,,,,1,2,2,,,,,,,,,,,,,,,,,,,
ALB,Other Insecticides,,,,15,22,27,,,,,,,,,,,,,,,,,,,
ALB,Phenoxy Hormone Products,,,,1.7,2,2.1,,,,,,,,,,,,,,,,,,,
ALB,Triazines,,,,0.5,0.7,0.9,,,,,,,,,,,,,,,,,,,
ALB,Amides,,,,0.5,0.8,1,,,,,,,,,,,,,,,,,,,
ALB,Carbamates Herbicides,,,,0.1,0.2,0.4,,,,,,,,,,,,,,,,,,,
ALB,Dinitroanilines,,,,0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,
ALB,Sulfonyl Ureas,,,,0.7,1,1.1,,,,,,,,,,,,,,,,,,,
ALB,Bipiridils,,,,0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,
ALB,Other Herbicides,,,,1.1,1.7,1.9,,,,,,,,,,,,,,,,,,,
ALB,Inorganics,,,,18,32,41,,,,,,,,,,,,,,,,,,,
ALB,Dithiocarbamates,,,,9,15,19,,,,,,,,,,,,,,,,,,,
ALB,Benzimidazoles,,,,1,2,3,,,,,,,,,,,,,,,,,,,
ALB,"Triazoles, Diazoles",,,,1,1,2,,,,,,,,,,,,,,,,,,,
ALB,Other Fungicides,,,,15,24,29,,,,,,,,,,,,,,,,,,,
ALB,Anticoagulants,,,,1.9,2.9,4,,,,,,,,,,,,,,,,,,,
ALB,Other Rodenticides,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,
ALB,Pesticides,,,,121,201,251,,,,,,,,,,,,,,,,,,,
ALB,Insecticides,,,,70,117,145,,,,,,,,,,,,,,,,,,,
ALB,Herbicides,,,,5,7,8,,,,,,,,,,,,,,,,,,,
ALB,Fungicides&Bactericides,,,,44,74,94,,,,,,,,,,,,,,,,,,,
ALB,Rodenticides,,,,2,3,4,,,,,,,,,,,,,,,,,,,
DZA,Plant Growth Regulators,,,,,,,,,,,,,,,3652.89,4023.04,4810.52,6176.19,14411.28,4060.26,680.68,17020,21716,22000,17934
DZA,Other Pesticides nes,335,548,387,89,235,698,24,58,186,232,,,,,,,,,,,,,,,
DZA,Pesticides,9918,13549,6041,5529,6347,11812,2762,2261,1031,2708,,,,,10320.14,7297.65,7116.94,10346.79,17860.15,8271.56,3977.45,22481,27114,25841,21999
DZA,Insecticides,3832,6432,2285,1960,2243,4514,1602,1784,283,1049,,,,,4453.23,996.55,762.58,2280.47,1262.6,1603.6,656,1483,1267,927,1230
DZA,Herbicides,292,381,205,297,395,1601,213,241,203,372,,,,,300.26,446.17,530.4,591.38,948.04,596.01,768.45,978,1050,886,830
DZA,Fungicides&Bactericides,5459,6188,3164,3183,3474,4999,923,178,359,1055,,,,,1913.76,1831.89,1013.44,1298.75,1238.23,2011.69,1872.32,3000,3081,2028,2005
DZA,Plant Growth Regulators,,,,,,,,,,,,,,,3652.89,4023.04,4810.52,6176.19,14411.28,4060.26,680.68,17020,21716,22000,17934
DZA,Other Pesticides nes,335,548,387,89,235,698,24,58,186,232,,,,,,,,,,,,,,,
AGO,Chlorinated Hydrocarbons,30,40,1,20,1,,,,,,,,,,,,,,,,,,,,
AGO,Organo-Phosphates,17,12,2,24,12,197,10,,,,,,,,,,,,,,,,,,
AGO,Carbamates Insecticides,5,5,5,20,,,8,,,,,,,,,,,,,,,,,,
AGO,Pyrethroids,4,17,3,37,7,6,10,,,,,,,,,,,,,,,,,,
AGO,Other Insecticides,,,2,52,2,2,9,,,,,,,,,,,,,,,,,,
AGO,Triazines,,,1,,,111,,,,,,,,,,,,,,,,,,,
AGO,Carbamates Herbicides,,,,,,18,,,,,,,,,,,,,,,,,,,
AGO,Other Herbicides,,,1,1,,,1,,,,,,,,,,,,,,,,,,
AGO,Inorganics,,,7,7,0.2,,,,,,,,,,,,,,,,,,,,
AGO,Dithiocarbamates,,,1,,0.3,,,,,,,,,,,,,,,,,,,,
AGO,Other Fungicides,5,5,,6,,,,,,,,,,,,,,,,,,,,,
AGO,Anticoagulants,3,,,2,2,1,1,,,,,,,,,,,,,,,,,,
AGO,Pesticides,64,79,23,169,25.5,336,40,,,,,,,,,,,,,,,,,,
AGO,Insecticides,56,74,13,153,22,205,37,,,,,,,,,,,,,,,,,,
AGO,Herbicides,,,2,1,1,129,1,,,,,,,,,,,,,,,,,,
AGO,Fungicides&Bactericides,5,5,8,13,0.5,1,1,,,,,,,,,,,,,,,,,,
AGO,Rodenticides,3,,,2,2,1,1,,,,,,,,,,,,,,,,,,
ATG,Chlorinated Hydrocarbons,,,,,,,,,,,,,,,,,,,,,,,0.54,0.34,
ATG,Organo-Phosphates,,,,,,,,,,,,,,,,,,,,,1.19,2.66,0.01,0,
ATG,Carbamates Insecticides,,,,,,,,,,,,,,,,,,,,,0.57,10.55,2.52,1.84,
ATG,Pyrethroids,,,,,,,,,,,,,,,,,,,,,1.04,2.03,11.58,1.8,
ATG,Botanic.Produc&Biologic.,,,,,,,,,,,,,,,,,,,,,0.01,0,0.16,0.06,
ATG,Other Insecticides,,,,,,,,,,,,,,,,,,,,,0.47,3.68,7.7,3.39,
ATG,Phenoxy Hormone Products,,,,,,,,,,,,,,,,,,,,,0.07,,0.1,0.05,
ATG,Triazines,,,,,,,,,,,,,,,,,,,,,0,0.03,0.15,0.11,
ATG,Amides,,,,,,,,,,,,,,,,,,,,,,0.04,,,
ATG,Carbamates Herbicides,,,,,,,,,,,,,,,,,,,,,,0.01,,,
ATG,Dinitroanilines,,,,,,,,,,,,,,,,,,,,,0.08,0.02,0.05,0.05,
ATG,Urea derivates,,,,,,,,,,,,,,,,,,,,,,9.11,0.06,9.22,
ATG,Sulfonyl Ureas,,,,,,,,,,,,,,,,,,,,,0.01,0,,,
ATG,Bipiridils,,,,,,,,,,,,,,,,,,,,,0.77,2.17,1.05,1.5,
ATG,Uracil,,,,,,,,,,,,,,,,,,,,,0.11,2.51,,,
ATG,Other Herbicides,,,,,,,,,,,,,,,,,,,,,2.66,4.76,3.12,4.46,
ATG,Inorganics,,,,,,,,,,,,,,,,,,,,,0.27,0.46,0.49,0.06,
ATG,Dithiocarbamates,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.98,1.39,
ATG,Benzimidazoles,,,,,,,,,,,,,,,,,,,,,0.08,0.12,0.06,0.06,
ATG,"Triazoles, Diazoles",,,,,,,,,,,,,,,,,,,,,,,,0,
ATG,"Diazines, Morpholines",,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,
ATG,Other Fungicides,,,,,,,,,,,,,,,,,,,,,0.02,0.92,0.89,0.81,
ATG,Dithiocarbamates-SeedTrF,,,,,,,,,,,,,,,,,,,,,,,0.98,1.39,
ATG,Others-SeedTreatFung,,,,,,,,,,,,,,,,,,,,,,,0,0.35,
