code3,typeName,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ATA,Refugees (incl. refugee-like status),1957211,1787928,1679304,1581628,1547066,1600875,1582814,1545310,1520185,1354664,1339867,1301322,1203603,1203229,1267335,1198553,1161121,1161836,1296917,1269370,1217180,1218660,1225145,1199943,1171474,1869311,2060364,1704164,1730902,1424300,1647256,1691178,1826012,1567876,1720631,1749951,1767918,2240629,2428625,2562932,2241616,3114574,2239034,1803198,2166469,1412810,1065784,1070617,1236830,1119372,1099539,289766,320108,351199,187215,246951,194062,190692,186684,167117,145048,132807,107207,101141,120132,138769
AGO,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,150000,150000,170000,175000,200000,220000,303800,356200,381360,408190,414120,419690,421500,426550,487390,496830,499190,529830,646110,652980,449030,457060,465891,298110,357821,317392,355412,391733,407566,408692,407760,381636,300492,323831,282577,246657,249687,267696,319430,353478,433760,470625,435421,329583,228851,215827,206501,186155,171393,141021,134858,128664,19258,10286,9484,11869,8363
RWA,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,147000,147000,154000,166300,155900,159600,160230,160100,144930,142050,141630,153650,163595,178260,175720,176410,169780,175110,176540,286651,277011,327951,321761,357111,376521,371911,353441,327539,319501,361322,431240,434736,450462,2257573,1819366,469136,68003,77743,88944,119056,84513,75257,75263,63804,100264,92966,80964,72530,129109,115524,106833,97373,83955,79408,286366,286033
GHA,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,312,1958,2202,3195,2699,3916,4769,4716,4691,4701,4776,4473,14289,13592,15095,14775,13633,13293,14775,14556,15686,15879,14772,18433,9960,5063,13242,14893,20203,20361,24298,21078,22145,22978,15507
SDN,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,13000,20300,81560,115000,120990,175500,170400,172960,171330,128450,13050,11770,11000,10600,10850,10850,10850,10852,5352,5352,31002,180062,180855,132759,253166,347310,438899,523998,196242,267767,393871,405135,445280,475305,364589,390013,485460,494363,489950,508877,606242,730641,693632,686311,523032,419248,368195,387288,500014,568943,648942,665967,627087,650588
GNB,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,6000,30000,50000,61050,59520,56740,67800,66660,80000,82000,84000,90000,46000,37000,5000,5000,5000,5002,4002,5002,5002,5012,5352,5354,5002,5001,5004,5003,5006,5008,5011,5015,830,856,868,8887,3185,886,927,986,975,1018,1050,1003,1028,1065,1109,1127,1123,1180,1223,1307,1471,1635
COD,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,58700,47000,74800,78190,67330,54530,51650,43470,43920,43380,39820,39410,44070,264940,151560,70450,116750,118970,92455,101571,94512,86418,96619,69428,103537,100786,67423,65816,81269,74826,73286,89738,158794,173995,158833,255950,371713,392146,421362,453465,462191,430929,401914,370374,367995,455852,476693,491481,509290,499563,516771,541496,537429
ALB,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,0,2000,1980,1610,1681,1680,1645,1610,1576,1587,90,129,358,367,1822,3540,4353,4744,5019,5803,5785,5379,5353,6288,6802,7626,10761,10385,10478,12722,14079,15340,15006,15711,14772,13551,12568,10103,10158,10408,11050
ARM,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,200,200,200,4070,3500,0,0,0,0,440,420,700,333,333,733,333,333,333,528,208,301,1,1,1,195003,200116,201842,201442,203231,203690,193150,193231,5786,7207,13249,13162,13410,13965,14917,15436,16336,18000,17547,16487,15935,11998,11848,11214,10687
RUS,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,17970,0,0,0,170,160,150,110,80,70,60,50,50,0,10821,11562,11569,11574,11577,11582,10226,8683,33636,68496,117736,155576,213802,243312,251393,207034,173723,198063,172730,28314,40310,45156,91626,96420,108100,103037,159382,93224,103061,109455,111948,109785,110588,74316,70562,67020,62737
