StationName,DataType,2009,2010,2011
AR-Slu,P_F,355.416,351.7,375.876
AR-Slu,TA_F,20.481004,19.043882,19.55704
AR-Slu,WS_F,2.5571063,2.719929,2.643608
AR-Slu,WD,130.576537,157.536025,163.227721
AR-Slu,RH,59.2988734,59,57
AR-Vir,P_F,1375.242,1664.07,1503.948
AR-Vir,TA_F,21.733729,21.223176,21.458386
AR-Vir,WS_F,2,2,2
AR-Vir,WD,148,155,164
AR-Vir,RH,65,69,71
AR-Vir,CO2_F_MS,421.5889083,433.1340848,441.5169027
AT-Neu,P_F,528.18,553.569,506.3
AT-Neu,TA_F,6.096051598,7.030649886,6.703043836
AT-Neu,WS_F,1.04944258,0.934804795,1.053300228
AT-Neu,WD,154.8560556,161.9413522,156.8811189
AT-Neu,RH,81.01689401,78.92074429,82.04323938
AT-Neu,CO2_F_MS,475.0361959,504.7070607,429.6554316
AU-Ade,P_F,1070.851,-9999,-9999
AU-Ade,TA_F,27.271159,-9999,-9999
AU-Ade,WS_F,1,-9999,-9999
AU-Ade,WD,186,-9999,-9999
AU-Ade,RH,68,-9999,-9999
AU-Ade,CO2_F_MS,371.946697,-9999,-9999
AU-Asm,P_F,-9999,741.238,411.6
AU-Asm,TA_F,-9999,20.788272,21.653137
AU-Asm,WS_F,-9999,3,3
AU-Asm,WD,-9999,145,151
AU-Asm,RH,-9999,47,42
AU-Asm,CO2_F_MS,-9999,394.4051815,371.8366588
