"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1990","%","97.220","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1991","%","97.570","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1992","%","97.840","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1993","%","98.410","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1994","%","98.860","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1995","%","99.450","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1996","%","99.410","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1997","%","99.350","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1998","%","99.350","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1999","%","99.360","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2000","%","99.300","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2001","%","99.240","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2002","%","99.190","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2003","%","99.220","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2004","%","98.980","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2005","%","98.940","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2006","%","98.820","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2007","%","98.890","Fc"
"3","Albania","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","2008","%","98.820","Fc"
"5200","Americas + (Total)","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1985","%","86.830","Fc"
"5200","Americas + (Total)","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1986","%","86.550","Fc"
"5200","Americas + (Total)","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1987","%","85.750","Fc"
"5200","Americas + (Total)","6730","Ammonia (NH3) emissions from agriculture","7203","7203","% of total NH3 emissions from agriculture","1988","%","86.000","Fc"
