Country Code,Type,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,,
AFG,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122893,1.312530908,0.840718528
AGO,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,2.800000008,7.900000004,5.599999981,0.400000019,-0.300000019,-1.199999989,-6.900000002,-24.69999999,3.499999989,10.40000002,11.19999997,7.90000001,6.804762116,3.239799671,3.012076171,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,3.006980545
ALB,GDP Growth %,,,,,,,,,,,,,,,,,,,,,5.745635266,2.948596802,1.104938266,-1.251596644,1.780643958,5.637243196,-0.787842649,-1.420039678,9.836548993,-9.575640187,-29.58899768,-7.199999987,9.600000012,8.299999997,13.29999999,9.1,-10.83785573,9.00885254,13.50117338,6.666620515,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.900000009,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.800000001
AND,GDP Growth %,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,3.194790296,4.099080837,1.165787079,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,,
ARB,GDP Growth %,,,,,,,,,,,,,,,,12.89650975,8.648996543,1.909862841,10.58689927,10.07420852,3.977046947,-3.110748743,-2.786628022,1.70530866,-0.532206971,0.468944489,0.604777826,3.778332971,2.411083736,10.78572982,-1.1872866,5.097178365,4.049486733,3.437262801,2.925412141,4.858408779,4.857624217,5.2822946,3.046361899,5.132508812,2.200270437,1.49914767,4.233535173,9.714083694,6.152496267,7.31207612,5.648191861,6.298524859,1.512606629,4.683150029,3.373632896,5.432919217,3.443414264,2.748396217,3.18404647
ARE,GDP Growth %,,,,,,,,,,,,,,,,16.52685649,21.43933016,-1.5896033,20.92357308,23.87477489,4.65917667,-6.719316188,-4.745820694,4.016951286,-3.594476527,-14.95813655,3.381981714,-2.61890772,12.3378913,18.32798551,0.860081945,3.344944873,1.261190952,6.896148545,6.687886471,5.798404051,8.190398652,0.291994344,2.90221365,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836271,-5.242921906,1.635449055,5.207798911,6.792621628,4.728897293,3.079884331,3.757642853
ARG,GDP Growth %,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,4.151762342,-5.689528,-4.957178519,3.875123424,2.211773504,-7.586677184,7.87577983,2.909993131,-2.556904877,-7.496189584,-2.398959219,12.66971009,11.94077473,5.906919492,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573302,8.851659919,8.047151504,9.007650879,4.057233102,-5.91852508,10.12539816,6.003951689,-1.026420463,2.405323787,-2.512615326,2.647271419
ARM,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.300000002,3.6,3
ASM,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-3.215926493,1.424050633,1.092043682
ATG,GDP Growth %,,,,,,,,,,,,,,,,,,4.184123692,7.343571085,8.59506429,4.083718775,0.167303078,4.678389386,9.75361582,7.990311646,12.71942637,8.263175138,5.421799514,5.772883425,2.545101961,2.036436094,0.848187899,5.390101588,6.327622074,-4.176818677,6.739561156,4.885841515,4.407673955,4.121604554,5.041769297,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,3.837468792,-0.200092652,4.602793481,4.126998335
AUS,GDP Growth %,2.47592903,1.327575239,6.212444386,6.976155075,5.980019699,2.365193062,6.297055511,5.092821303,7.049711867,7.166891517,4.009152776,3.91086113,2.598642439,4.096860795,1.338248943,2.589663293,3.607278322,0.896974943,4.052844193,3.051391053,3.358143222,3.321295921,-2.230600171,4.627133241,5.249480511,4.101527898,2.574492714,5.769038185,3.878700006,3.529134884,-0.379883394,0.399007033,4.060134769,4.037946572,3.87904044,3.949140722,3.947341804,4.438243428,5.007096354,3.868657682,1.929386797,3.856686721,3.070798721,4.149374345,3.206642301,2.982870285,3.757657864,3.706699506,1.819678261,2.018182144,2.379561336,3.632720303,2.440049062,2.499851222,2.240028575
AUT,GDP Growth %,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.546028411,5.114968735,6.207860972,4.890435421,3.942138086,-0.363735688,4.578445396,5.079980839,-0.210653522,5.356699873,1.731485369,-0.144294474,2.011254376,2.973088013,0.051275253,2.498678494,2.301392755,1.357167997,3.295880256,3.887074761,4.345641565,3.441627387,2.093524719,0.526809483,2.402118754,2.667983671,2.398314295,2.20501964,3.559966919,3.589987751,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.7457561,0.124223545,0.644844832,0.963058399
AZE,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,10.00000028,7.400000582,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.1
BDI,GDP Growth %,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,-3.904919353
BEL,GDP Growth %,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.95693974,3.985827304,5.295604434,6.381702073,4.56525808,-1.965941546,5.652745847,0.626154812,2.841896595,2.341072999,4.444054087,-0.279283642,0.594986925,0.311842774,2.466382641,1.651792852,1.822762123,2.306659409,4.723208901,3.46916682,3.137402456,1.833074306,1.530654787,-0.961873089,3.226971478,2.384757216,1.593571255,3.71019693,1.975511603,3.563093603,3.633841364,0.811644083,1.780253197,0.774498227,3.634776681,2.094484986,2.499134928,3.397493226,0.747284182,-2.285112803,2.695144611,1.796629974,0.137051659,-0.067164785,1.653110541,1.500230801
BEN,GDP Growth %,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.877497976,2.097757578,-1.496841828,6.426367544,3.706165319,3.339312161,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.854160496,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.810283413,7.193096519,6.357520953,2.094457981
BFA,GDP Growth %,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.332260933,1.888466594,6.613399558,4.353004323,7.802439895,4.478474349,8.661861605,6.253158606,4.111381646,5.800005065,2.961878243,8.446325184,6.626874404,6.452674754,5.708753995,4.030336888,4.021049409
BGD,GDP Growth %,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054,6.552633316
BGR,GDP Growth %,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305913,3.396443623,2.68344074,4.207602004,6.054513839,10.94469206,-3.289882068,-9.117377097,-8.445355238,-7.272387907,-1.480214829,1.818011241,2.860189441,1.599999963,-1.099999912,3.499999833,-5.609999976,5.010949436,4.248025257,6.018122264,5.077522246,6.555566547,7.236192982,6.753133915,7.675350682,5.647005366,-4.219726999,0.054557923,1.915018011,0.030943608,0.862092738,1.328849722,3.617442633
BHR,GDP Growth %,,,,,,,,,,,,,,,,,,,,,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,1.983409528,3.72810843,5.41683981,4.350483603,2.862955875
BHS,GDP Growth %,10.66709743,10.45197189,10.5240552,10.5015672,10.42559649,9.071928711,9.598113867,8.421763564,8.981662578,-5.649649519,1.626508741,-3.497335933,7.567568824,-16.75422907,-14.80312631,5.185184972,9.154929219,14.17952014,26.13929577,6.495281921,-9.22640508,6.698897756,3.597051868,14.17114862,4.829180114,1.797000227,2.984519345,2.309707661,6.727329799,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,3.086656779,0.010307048,-0.524452896,-1.663644107
BIH,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230375,5.378476622,5.728757073,5.48150787,-2.869881278,0.767254237,0.908247974,-0.933187591,2.394191979,1.08187567,3.034826724
BLR,GDP Growth %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-9.6,-7.6,-11.7,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223,1.073600801,1.723086003,-3.887698502
BLZ,GDP Growth %,4.892277219,4.89265218,4.956434195,4.99987991,4.930540961,4.770845113,4.913123162,7.367225457,5.106374791,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,15.16651808,1.290639737,-0.283156225,-2.106017315,1.957945127,1.066849255,4.57425873,11.21577971,9.237596458,13.09084157,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.326537858,4.650468034,2.578742031,4.582560297,1.104310804,3.228494977,0.798878171,3.321951014,2.101268922,3.740409207,1.313559322,4.083494924,1.043801055
BMU,GDP Growth %,4.68,4.47,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426117,6.312292359,3.4375,1.812688822,1.483679525,0.877192982,3.768115942,8.938547486,5.897435897,1.452784504,2.14797136,7.943925234,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,
