"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"2","Afghanistan","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.220",""
"2","Afghanistan","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.640",""
"2","Afghanistan","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.920",""
"5100","Africa + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.890","A"
"5100","Africa + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.100","A"
"5100","Africa + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.120","A"
"3","Albania","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","2.780",""
"3","Albania","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.650",""
"3","Albania","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.240",""
"4","Algeria","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.650",""
"4","Algeria","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.640",""
"4","Algeria","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.810",""
"5","American Samoa","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.140",""
"5200","Americas + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.910","A"
"5200","Americas + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.720","A"
"5200","Americas + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.600","A"
"6","Andorra","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"6","Andorra","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.000",""
"6","Andorra","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.500",""
"7","Angola","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.290",""
"7","Angola","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.210",""
"7","Angola","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.650",""
"258","Anguilla","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.280",""
"8","Antigua and Barbuda","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.680",""
"9","Argentina","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.190",""
"9","Argentina","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.600",""
"9","Argentina","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.480",""
"1","Armenia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.570",""
"22","Aruba","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.570",""
"5300","Asia + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.840","A"
"5300","Asia + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.530","A"
"5300","Asia + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.360","A"
"10","Australia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.060",""
"10","Australia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.810",""
"10","Australia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.630",""
"5501","Australia and New Zealand + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.060","A"
"5501","Australia and New Zealand + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.240","A"
"5501","Australia and New Zealand + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.240","A"
"11","Austria","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"11","Austria","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.010",""
"11","Austria","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.640",""
"52","Azerbaijan","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.210",""
"12","Bahamas","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.000",""
"12","Bahamas","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.420",""
"13","Bahrain","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"13","Bahrain","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.000",""
"13","Bahrain","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.310",""
"16","Bangladesh","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"16","Bangladesh","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.610",""
"16","Bangladesh","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.900",""
"14","Barbados","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.640",""
"57","Belarus","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","5.100",""
"255","Belgium","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.320",""
"23","Belize","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"23","Belize","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.600",""
"23","Belize","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.610",""
"53","Benin","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.120",""
"53","Benin","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.820",""
"53","Benin","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.800",""
"18","Bhutan","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.990",""
"18","Bhutan","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.360",""
"18","Bhutan","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.150",""
"19","Bolivia (Plurinational State of)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.030",""
"19","Bolivia (Plurinational State of)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.190",""
"19","Bolivia (Plurinational State of)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.040",""
"80","Bosnia and Herzegovina","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.310",""
"20","Botswana","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.210",""
"20","Botswana","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.530",""
"20","Botswana","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.620",""
"21","Brazil","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.660",""
"21","Brazil","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.960",""
"21","Brazil","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.210",""
"239","British Virgin Islands","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.090",""
"26","Brunei Darussalam","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"26","Brunei Darussalam","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.130",""
"26","Brunei Darussalam","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","10.170",""
"27","Bulgaria","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.010",""
"27","Bulgaria","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.000",""
"27","Bulgaria","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.290",""
"233","Burkina Faso","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.260",""
"233","Burkina Faso","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.120",""
"233","Burkina Faso","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.760",""
"29","Burundi","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
"29","Burundi","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.940",""
"29","Burundi","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.020",""
"115","Cambodia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.740",""
"115","Cambodia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.450",""
"115","Cambodia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.960",""
"32","Cameroon","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.910",""
"32","Cameroon","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.830",""
"32","Cameroon","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.080",""
"33","Canada","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.440",""
"33","Canada","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.210",""
"33","Canada","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","4.280",""
"35","Cape Verde","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","3.000",""
"35","Cape Verde","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","4.000",""
"35","Cape Verde","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.250",""
"5206","Caribbean + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.360","A"
"5206","Caribbean + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.010","A"
"5206","Caribbean + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.430","A"
"36","Cayman Islands","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.370",""
"37","Central African Republic","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.140",""
"37","Central African Republic","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.650",""
"37","Central African Republic","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.860",""
"5204","Central America + (Total)","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.260","A"
"5204","Central America + (Total)","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.890","A"
"5204","Central America + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.090","A"
"5301","Central Asia + (Total)","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.800","A"
"39","Chad","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.510",""
"39","Chad","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.440",""
"39","Chad","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.870",""
"40","Chile","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.820",""
"40","Chile","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.410",""
"40","Chile","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","2.230",""
"351","China","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.490",""
"351","China","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","7.870",""
"44","Colombia","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.290",""
"44","Colombia","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.510",""
"44","Colombia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.820",""
"45","Comoros","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","3.000",""
"45","Comoros","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","4.000",""
"45","Comoros","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.590",""
"46","Congo","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","2.990",""
"46","Congo","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","0.650",""
"46","Congo","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.480",""
"48","Costa Rica","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","2.290",""
"48","Costa Rica","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","3.030",""
"48","Costa Rica","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","3.300",""
"107","Côte d'Ivoire","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.220",""
"107","Côte d'Ivoire","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.950",""
"107","Côte d'Ivoire","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","0.890",""
"98","Croatia","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.270",""
"49","Cuba","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.840",""
"49","Cuba","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","1.850",""
"49","Cuba","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.240",""
"50","Cyprus","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","1.000",""
"50","Cyprus","6709","Soil","7220","7220","Average land degradation in GLASOD erosion degree","1991","degrees","2.000",""
"50","Cyprus","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.030",""
"167","Czech Republic","6709","Soil","7221","7221","Average carbon content in the topsoil as a % in weight","2008","%","1.280",""
"116","Democratic People's Republic of Korea","6709","Soil","7219","7219","Average soil erosion expressed in GLASOD erosion degree","1991","degrees","0.000",""
